DOI,Keyword,Matched Term,URI,Cosine Similarity
doi:10.17026/DANS-XNP-YQ64,bilingualism,multiculturalism,http://vocab.getty.edu/aat/300233662,0.63729787
doi:10.17026/DANS-XNP-YQ64,bilingualism,translators,http://vocab.getty.edu/aat/300025601,0.6158776
doi:10.17026/DANS-XNP-YQ64,multilingualism,multilingual thesauri,http://vocab.getty.edu/aat/300048163,0.6827548
doi:10.17026/DANS-XNP-YQ64,early childhood education,early childhood education,http://vocab.getty.edu/aat/300054362,1.0000002
doi:10.17026/DANS-XNP-YQ64,early childhood education,preschool education,http://vocab.getty.edu/aat/300138794,0.7908714
doi:10.17026/DANS-XNP-YQ64,early childhood education,elementary education,http://vocab.getty.edu/aat/300054367,0.683195
doi:10.17026/DANS-XNP-YQ64,early childhood education,childhood,http://vocab.getty.edu/aat/300189588,0.666143
doi:10.17026/DANS-XNP-YQ64,early childhood education,education,http://vocab.getty.edu/aat/300054360,0.64225733
doi:10.17026/DANS-XNP-YQ64,child care,child care equipment,http://vocab.getty.edu/aat/300248239,0.7649667
doi:10.17026/DANS-XNP-YQ64,child care,children's hospitals,http://vocab.getty.edu/aat/300006682,0.6911062
doi:10.17026/DANS-XNP-YQ64,child care,day care,http://vocab.getty.edu/aat/300138070,0.6432571
doi:10.17026/DANS-XNP-YQ64,child care,child labor,http://vocab.getty.edu/aat/300386105,0.6273805
doi:10.17026/DANS-XNP-YQ64,child care,maternity wards,http://vocab.getty.edu/aat/300125571,0.6182221
doi:10.17026/DANS-XNP-YQ64,preschool education,preschool education,http://vocab.getty.edu/aat/300138794,1.0000001
doi:10.17026/DANS-XNP-YQ64,preschool education,early childhood education,http://vocab.getty.edu/aat/300054362,0.7908714
doi:10.17026/DANS-XNP-YQ64,preschool education,kindergartens (institutions),http://vocab.getty.edu/aat/300343465,0.7562569
doi:10.17026/DANS-XNP-YQ64,preschool education,elementary education,http://vocab.getty.edu/aat/300054367,0.7145109
doi:10.17026/DANS-XNP-YQ64,preschool education,nursery schools (institutions),http://vocab.getty.edu/aat/300343466,0.6938017
doi:10.17026/DANS-XNP-YQ64,teacher-child interaction,teachers,http://vocab.getty.edu/aat/300025529,0.64623004
doi:10.17026/DANS-XNP-YQ64,survey,surveys (documents),http://vocab.getty.edu/aat/300226986,0.7483582
doi:10.17026/DANS-XNP-YQ64,survey,records surveys,http://vocab.getty.edu/aat/300027079,0.7443546
doi:10.17026/DANS-XNP-YQ64,survey,significance assessments (surveys),http://vocab.getty.edu/aat/300379612,0.74328303
doi:10.17026/DANS-XNP-YQ64,survey,quantity surveys,http://vocab.getty.edu/aat/300026734,0.707587
doi:10.17026/DANS-XNP-YQ64,survey,survey stakes,http://vocab.getty.edu/aat/300434156,0.7066609
doi:10.17026/DANS-XNP-YQ64,video recording,video recording (process),http://vocab.getty.edu/aat/300417974,0.8614602
doi:10.17026/DANS-XNP-YQ64,video recording,recording,http://vocab.getty.edu/aat/300077610,0.8607228
doi:10.17026/DANS-XNP-YQ64,video recording,videotape recorders,http://vocab.getty.edu/aat/300265809,0.84432876
doi:10.17026/DANS-XNP-YQ64,video recording,videocassette recorders,http://vocab.getty.edu/aat/300265808,0.7725584
doi:10.17026/DANS-XNP-YQ64,video recording,video cameras,http://vocab.getty.edu/aat/300263898,0.74040496
