DOI,Keyword,Matched Term,URI,Cosine Similarity
doi:10.17026/DANS-ZTU-ZVX6,oral history,oral history (discipline),http://vocab.getty.edu/aat/300054402,0.87874746
doi:10.17026/DANS-ZTU-ZVX6,oral history,oral historians,http://vocab.getty.edu/aat/300260269,0.8763007
doi:10.17026/DANS-ZTU-ZVX6,oral history,oral tradition,http://vocab.getty.edu/aat/300262982,0.75547874
doi:10.17026/DANS-ZTU-ZVX6,oral history,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,0.75134945
doi:10.17026/DANS-ZTU-ZVX6,holocaust,genocide,http://vocab.getty.edu/aat/300419328,0.7081739
doi:10.17026/DANS-ZTU-ZVX6,holocaust,atrocities,http://vocab.getty.edu/aat/300379127,0.614239
doi:10.17026/DANS-ZTU-ZVX6,world war ii,world wars,http://vocab.getty.edu/aat/300247280,0.7575555
doi:10.17026/DANS-ZTU-ZVX6,jewish people,Judaism,http://vocab.getty.edu/aat/300073723,0.7349928
doi:10.17026/DANS-ZTU-ZVX6,jewish people,Ancient Jewish,http://vocab.getty.edu/aat/300387749,0.62739486
doi:10.17026/DANS-ZTU-ZVX6,jewish people,Jewish diaspora (culture),http://vocab.getty.edu/aat/300417676,0.62280905
doi:10.17026/DANS-ZTU-ZVX6,jewish people,Jewish (culture or style),http://vocab.getty.edu/aat/300417675,0.60995066
doi:10.17026/DANS-ZTU-ZVX6,concentration camp,concentration camps,http://vocab.getty.edu/aat/300000277,0.9246086
doi:10.17026/DANS-ZTU-ZVX6,concentration camp,concentration camp sites,http://vocab.getty.edu/aat/300387268,0.9061399
doi:10.17026/DANS-ZTU-ZVX6,concentration camp,military camps,http://vocab.getty.edu/aat/300000476,0.7218994
doi:10.17026/DANS-ZTU-ZVX6,concentration camp,army camps,http://vocab.getty.edu/aat/300164117,0.7109189
doi:10.17026/DANS-ZTU-ZVX6,concentration camp,prison camps,http://vocab.getty.edu/aat/300000281,0.7109071
doi:10.17026/DANS-ZTU-ZVX6,family relationship,ancestors (family relationships),http://vocab.getty.edu/aat/300255718,0.7614376
doi:10.17026/DANS-ZTU-ZVX6,family relationship,family life,http://vocab.getty.edu/aat/300435378,0.744136
doi:10.17026/DANS-ZTU-ZVX6,family relationship,descendants (family relationships),http://vocab.getty.edu/aat/300266305,0.7179758
doi:10.17026/DANS-ZTU-ZVX6,family relationship,families (kinship groups),http://vocab.getty.edu/aat/300055474,0.70333076
doi:10.17026/DANS-ZTU-ZVX6,family relationship,relatives (familial),http://vocab.getty.edu/aat/300386155,0.6885981
doi:10.17026/DANS-ZTU-ZVX6,father-child relationship,fathers,http://vocab.getty.edu/aat/300025931,0.7144666
doi:10.17026/DANS-ZTU-ZVX6,father-child relationship,fathers-in-law,http://vocab.getty.edu/aat/300386758,0.66250706
doi:10.17026/DANS-ZTU-ZVX6,father-child relationship,ancestors (family relationships),http://vocab.getty.edu/aat/300255718,0.62724936
doi:10.17026/DANS-ZTU-ZVX6,father-child relationship,descendants (family relationships),http://vocab.getty.edu/aat/300266305,0.61363995
doi:10.17026/DANS-ZTU-ZVX6,father-child relationship,parents,http://vocab.getty.edu/aat/300025930,0.6063051
doi:10.17026/DANS-ZTU-ZVX6,concealment,disguises,http://vocab.getty.edu/aat/300258478,0.6910253
doi:10.17026/DANS-ZTU-ZVX6,concealment,hiding,http://vocab.getty.edu/aat/300445453,0.6896674
doi:10.17026/DANS-ZTU-ZVX6,concealment,secrecy,http://vocab.getty.edu/aat/300257050,0.65187544
