DOI,Keyword,Matched Term,URI,Cosine Similarity
doi:10.17026/SS/2BKS62,georgia (country),Georgian (of modern U.S. state),http://vocab.getty.edu/aat/300411794,0.6988838
doi:10.17026/SS/2BKS62,georgia (country),Ga (language),http://vocab.getty.edu/aat/300443648,0.6494274
doi:10.17026/SS/2BKS62,georgia (country),Georgian (language),http://vocab.getty.edu/aat/300388343,0.6180037
doi:10.17026/SS/2BKS62,elections,elections,http://vocab.getty.edu/aat/300069260,1.0000002
doi:10.17026/SS/2BKS62,elections,voters,http://vocab.getty.edu/aat/300189335,0.7516378
doi:10.17026/SS/2BKS62,elections,election districts,http://vocab.getty.edu/aat/300000709,0.7232717
doi:10.17026/SS/2BKS62,elections,ballots,http://vocab.getty.edu/aat/300027428,0.68475914
doi:10.17026/SS/2BKS62,elections,voting,http://vocab.getty.edu/aat/300189333,0.68002844
doi:10.17026/SS/2BKS62,public opinion,public opinion polls,http://vocab.getty.edu/aat/300223011,0.7716901
doi:10.17026/SS/2BKS62,public opinion,public policy,http://vocab.getty.edu/aat/300054445,0.6867606
doi:10.17026/SS/2BKS62,public opinion,public (people),http://vocab.getty.edu/aat/300445007,0.63908625
doi:10.17026/SS/2BKS62,public opinion,publicists,http://vocab.getty.edu/aat/300237376,0.6204228
doi:10.17026/SS/2BKS62,voting,voting,http://vocab.getty.edu/aat/300189333,1.0
doi:10.17026/SS/2BKS62,voting,voting machines,http://vocab.getty.edu/aat/300432335,0.81647384
doi:10.17026/SS/2BKS62,voting,voters,http://vocab.getty.edu/aat/300189335,0.7979907
doi:10.17026/SS/2BKS62,voting,voting devices,http://vocab.getty.edu/aat/300432334,0.78393155
doi:10.17026/SS/2BKS62,voting,ballots,http://vocab.getty.edu/aat/300027428,0.77030313
doi:10.17026/SS/2BKS62,political parties,parties (events),http://vocab.getty.edu/aat/300069614,0.7352294
doi:10.17026/SS/2BKS62,political parties,politics,http://vocab.getty.edu/aat/300055537,0.6980723
doi:10.17026/SS/2BKS62,political parties,political organizations,http://vocab.getty.edu/aat/300417537,0.6861384
doi:10.17026/SS/2BKS62,political parties,responsible parties,http://vocab.getty.edu/aat/300404729,0.66623807
doi:10.17026/SS/2BKS62,political parties,politicians,http://vocab.getty.edu/aat/300025474,0.6604918
doi:10.17026/SS/2BKS62,internet,Internet,http://vocab.getty.edu/aat/300265429,1.0000001
doi:10.17026/SS/2BKS62,internet,Internet service providers,http://vocab.getty.edu/aat/300259912,0.65923136
doi:10.17026/SS/2BKS62,internet,broadband,http://vocab.getty.edu/aat/300266015,0.6375409
doi:10.17026/SS/2BKS62,survey,surveys (documents),http://vocab.getty.edu/aat/300226986,0.7483582
doi:10.17026/SS/2BKS62,survey,records surveys,http://vocab.getty.edu/aat/300027079,0.7443546
doi:10.17026/SS/2BKS62,survey,significance assessments (surveys),http://vocab.getty.edu/aat/300379612,0.74328303
doi:10.17026/SS/2BKS62,survey,quantity surveys,http://vocab.getty.edu/aat/300026734,0.707587
doi:10.17026/SS/2BKS62,survey,survey stakes,http://vocab.getty.edu/aat/300434156,0.7066609
doi:10.17026/SS/2BKS62,political science,political science,http://vocab.getty.edu/aat/300054438,1.0
doi:10.17026/SS/2BKS62,political science,politics,http://vocab.getty.edu/aat/300055537,0.8248193
doi:10.17026/SS/2BKS62,political science,political scientists,http://vocab.getty.edu/aat/300025596,0.805331
doi:10.17026/SS/2BKS62,political science,political concepts,http://vocab.getty.edu/aat/300055490,0.7982968
doi:10.17026/SS/2BKS62,political science,political organizations,http://vocab.getty.edu/aat/300417537,0.69532335
doi:10.17026/SS/2BKS62,data collection,collection development,http://vocab.getty.edu/aat/300078791,0.70156825
doi:10.17026/SS/2BKS62,data collection,collection management systems,http://vocab.getty.edu/aat/300387372,0.67839617
doi:10.17026/SS/2BKS62,data collection,collections management,http://vocab.getty.edu/aat/300137819,0.6725205
doi:10.17026/SS/2BKS62,data collection,data management,http://vocab.getty.edu/aat/300379871,0.65847754
doi:10.17026/SS/2BKS62,data collection,collections care,http://vocab.getty.edu/aat/300379370,0.6437737
doi:10.17026/SS/2BKS62,political opinion,politics,http://vocab.getty.edu/aat/300055537,0.6849307
doi:10.17026/SS/2BKS62,political opinion,political science,http://vocab.getty.edu/aat/300054438,0.6404357
doi:10.17026/SS/2BKS62,political opinion,political concepts,http://vocab.getty.edu/aat/300055490,0.6351595
doi:10.17026/SS/2BKS62,political opinion,political divisions,http://vocab.getty.edu/aat/300236157,0.6129905
