DOI,Keyword,Matched Term,URI,Cosine Similarity
doi:10.17026/SS/8TI9GR,korsakoff's syndrome,vinegar syndrome,http://vocab.getty.edu/aat/300379622,0.6056634
doi:10.17026/SS/8TI9GR,nursing home,nursing homes,http://vocab.getty.edu/aat/300006709,0.92364174
doi:10.17026/SS/8TI9GR,nursing home,quilting hoops,http://vocab.getty.edu/aat/300431041,0.7312217
doi:10.17026/SS/8TI9GR,nursing home,nursing pads,http://vocab.getty.edu/aat/300429627,0.7302981
doi:10.17026/SS/8TI9GR,nursing home,printing houses,http://vocab.getty.edu/aat/300451036,0.70988417
doi:10.17026/SS/8TI9GR,nursing home,nursing cups,http://vocab.getty.edu/aat/300429624,0.69801664
doi:10.17026/SS/8TI9GR,spiritual care,coal cars,http://vocab.getty.edu/aat/300423356,0.66067636
doi:10.17026/SS/8TI9GR,spiritual care,political cards,http://vocab.getty.edu/aat/300430581,0.65649724
doi:10.17026/SS/8TI9GR,spiritual care,postal cards,http://vocab.getty.edu/aat/300026821,0.6545197
doi:10.17026/SS/8TI9GR,spiritual care,political cartoons,http://vocab.getty.edu/aat/300123224,0.64988834
doi:10.17026/SS/8TI9GR,spiritual care,health care,http://vocab.getty.edu/aat/300404582,0.62410474
doi:10.17026/SS/8TI9GR,meaning of life,ways of life,http://vocab.getty.edu/aat/300252897,0.6914578
doi:10.17026/SS/8TI9GR,meaning of life,quality of life,http://vocab.getty.edu/aat/300055308,0.6376887
doi:10.17026/SS/8TI9GR,meaning of life,cracking off,http://vocab.getty.edu/aat/300237015,0.630207
doi:10.17026/SS/8TI9GR,meaning of life,beginning axes,http://vocab.getty.edu/aat/300168446,0.60320354
doi:10.17026/SS/8TI9GR,qualitative research,administrative regulations,http://vocab.getty.edu/aat/300027843,0.73666734
doi:10.17026/SS/8TI9GR,qualitative research,adaptive reuse,http://vocab.getty.edu/aat/300056392,0.6647487
doi:10.17026/SS/8TI9GR,qualitative research,administrative records,http://vocab.getty.edu/aat/300027425,0.66418976
doi:10.17026/SS/8TI9GR,qualitative research,comparative religion,http://vocab.getty.edu/aat/300054302,0.6641675
doi:10.17026/SS/8TI9GR,qualitative research,administrative reports,http://vocab.getty.edu/aat/300027268,0.64563483
doi:10.17026/SS/8TI9GR,interviews,interviews,http://vocab.getty.edu/aat/300026392,1.0
doi:10.17026/SS/8TI9GR,interviews,interviewing,http://vocab.getty.edu/aat/300255438,0.69739777
doi:10.17026/SS/8TI9GR,interviews,interviewees,http://vocab.getty.edu/aat/300440749,0.6753216
doi:10.17026/SS/8TI9GR,interviews,interviewers,http://vocab.getty.edu/aat/300440748,0.6556736
doi:10.17026/SS/8TI9GR,observation (research method),method of representation (information indicator),http://vocab.getty.edu/aat/300404459,0.7023495
doi:10.17026/SS/8TI9GR,observation (research method),condition/examination description,http://vocab.getty.edu/aat/300435425,0.7004651
doi:10.17026/SS/8TI9GR,observation (research method),presentation models,http://vocab.getty.edu/aat/300411654,0.6993433
doi:10.17026/SS/8TI9GR,observation (research method),identification signs,http://vocab.getty.edu/aat/300211861,0.69768834
doi:10.17026/SS/8TI9GR,observation (research method),information management,http://vocab.getty.edu/aat/300054624,0.6905844
doi:10.17026/SS/8TI9GR,person-centered care,animated cartoons,http://vocab.getty.edu/aat/300263512,0.6724712
doi:10.17026/SS/8TI9GR,person-centered care,armored cars,http://vocab.getty.edu/aat/300212625,0.6622999
doi:10.17026/SS/8TI9GR,person-centered care,vertebrate paleontology,http://vocab.getty.edu/aat/300419436,0.6419318
doi:10.17026/SS/8TI9GR,person-centered care,invertebrate paleontology,http://vocab.getty.edu/aat/300419435,0.64181197
doi:10.17026/SS/8TI9GR,person-centered care,three-wheeled carts,http://vocab.getty.edu/aat/300418018,0.6417209
doi:10.17026/SS/8TI9GR,psychiatric care,psychiatric clinics,http://vocab.getty.edu/aat/300006672,0.6306192
doi:10.17026/SS/8TI9GR,long-term care facility,terminal care facilities,http://vocab.getty.edu/aat/300006725,0.7165246
doi:10.17026/SS/8TI9GR,long-term care facility,ambulatory care facilities,http://vocab.getty.edu/aat/300451075,0.6937226
doi:10.17026/SS/8TI9GR,long-term care facility,extended care facilities,http://vocab.getty.edu/aat/300006707,0.67877203
doi:10.17026/SS/8TI9GR,long-term care facility,auxiliary health care facilities,http://vocab.getty.edu/aat/300006658,0.6502024
