DOI,Keyword,Matched Term,URI,Cosine Similarity
doi:10.17026/SS/ALUY8I,archive,Web archives,http://vocab.getty.edu/aat/300380353,0.8048619
doi:10.17026/SS/ALUY8I,archive,archives (institutions),http://vocab.getty.edu/aat/300312242,0.7955464
doi:10.17026/SS/ALUY8I,archive,archives (rooms),http://vocab.getty.edu/aat/300004482,0.75476193
doi:10.17026/SS/ALUY8I,archive,digital archives (institutions),http://vocab.getty.edu/aat/300379430,0.74909925
doi:10.17026/SS/ALUY8I,archive,archiving,http://vocab.getty.edu/aat/300054627,0.7450373
doi:10.17026/SS/ALUY8I,community organization,community organizations,http://vocab.getty.edu/aat/300127003,0.9722842
doi:10.17026/SS/ALUY8I,community organization,organizations (groups),http://vocab.getty.edu/aat/300025948,0.76960075
doi:10.17026/SS/ALUY8I,community organization,groups (organizations),http://vocab.getty.edu/aat/300386362,0.7519882
doi:10.17026/SS/ALUY8I,community organization,communities (social groups),http://vocab.getty.edu/aat/300435377,0.73593736
doi:10.17026/SS/ALUY8I,community organization,community development,http://vocab.getty.edu/aat/300055433,0.72633815
doi:10.17026/SS/ALUY8I,urban renewal,urban renewal,http://vocab.getty.edu/aat/300055442,1.0000002
doi:10.17026/SS/ALUY8I,urban renewal,urban renewal projects,http://vocab.getty.edu/aat/300451315,0.8952436
doi:10.17026/SS/ALUY8I,city,cities,http://vocab.getty.edu/aat/300008389,0.9236395
doi:10.17026/SS/ALUY8I,city,capital cities,http://vocab.getty.edu/aat/300008410,0.7719028
doi:10.17026/SS/ALUY8I,city,city centers,http://vocab.getty.edu/aat/300449027,0.7714107
doi:10.17026/SS/ALUY8I,city,city-states,http://vocab.getty.edu/aat/300234611,0.76482815
doi:10.17026/SS/ALUY8I,city,city maps,http://vocab.getty.edu/aat/300418022,0.7476983
doi:10.17026/SS/ALUY8I,rotterdam,holland,http://vocab.getty.edu/aat/300227835,0.61486363
doi:10.17026/SS/ALUY8I,housing estate,estates (residential complexes),http://vocab.getty.edu/aat/300404837,0.7604214
doi:10.17026/SS/ALUY8I,housing estate,rental housing,http://vocab.getty.edu/aat/300000312,0.7375831
doi:10.17026/SS/ALUY8I,housing estate,houses,http://vocab.getty.edu/aat/300005433,0.73572147
doi:10.17026/SS/ALUY8I,housing estate,real estate,http://vocab.getty.edu/aat/300055608,0.73075795
doi:10.17026/SS/ALUY8I,housing estate,housing developments,http://vocab.getty.edu/aat/300000498,0.7132901
doi:10.17026/SS/ALUY8I,residential neighborhood,neighborhoods,http://vocab.getty.edu/aat/300000745,0.8741654
doi:10.17026/SS/ALUY8I,residential neighborhood,residential centers,http://vocab.getty.edu/aat/300387271,0.8202201
doi:10.17026/SS/ALUY8I,residential neighborhood,residential districts,http://vocab.getty.edu/aat/300000742,0.7904852
doi:10.17026/SS/ALUY8I,residential neighborhood,neighborhood parks,http://vocab.getty.edu/aat/300008193,0.73129094
doi:10.17026/SS/ALUY8I,residential neighborhood,homes,http://vocab.getty.edu/aat/300438626,0.70318186
doi:10.17026/SS/ALUY8I,urban planning,urban planning,http://vocab.getty.edu/aat/300054427,1.0000002
doi:10.17026/SS/ALUY8I,urban planning,urban planners,http://vocab.getty.edu/aat/300025091,0.89934313
doi:10.17026/SS/ALUY8I,urban planning,urban planning firms,http://vocab.getty.edu/aat/300386351,0.836289
doi:10.17026/SS/ALUY8I,urban planning,urban development,http://vocab.getty.edu/aat/300055438,0.8001721
doi:10.17026/SS/ALUY8I,urban planning,rural planning,http://vocab.getty.edu/aat/300054434,0.78237957
doi:10.17026/SS/ALUY8I,archival material,archival materials,http://vocab.getty.edu/aat/300379505,0.9793927
doi:10.17026/SS/ALUY8I,archival material,archival quality,http://vocab.getty.edu/aat/300218588,0.8355638
doi:10.17026/SS/ALUY8I,archival material,archival copies,http://vocab.getty.edu/aat/300375328,0.8255105
doi:10.17026/SS/ALUY8I,archival material,archival description,http://vocab.getty.edu/aat/300449175,0.8197706
doi:10.17026/SS/ALUY8I,archival material,archival catalogs,http://vocab.getty.edu/aat/300026542,0.8175668
doi:10.17026/SS/ALUY8I,building,builders,http://vocab.getty.edu/aat/300025007,0.7890873
doi:10.17026/SS/ALUY8I,building,building plans,http://vocab.getty.edu/aat/300034157,0.77362645
doi:10.17026/SS/ALUY8I,building,building systems,http://vocab.getty.edu/aat/300003928,0.7693317
doi:10.17026/SS/ALUY8I,building,construction sites,http://vocab.getty.edu/aat/300312090,0.7401129
doi:10.17026/SS/ALUY8I,building,building board,http://vocab.getty.edu/aat/300014196,0.73545945
