DOI,Keyword,Matched Term,URI,Cosine Similarity
doi:10.17026/SS/FKBEAV,government,state government,http://vocab.getty.edu/aat/300055504,0.7988862
doi:10.17026/SS/FKBEAV,government,federal government,http://vocab.getty.edu/aat/300055506,0.7936977
doi:10.17026/SS/FKBEAV,government,governments (administrative bodies),http://vocab.getty.edu/aat/300386741,0.7857041
doi:10.17026/SS/FKBEAV,government,government (political concept),http://vocab.getty.edu/aat/300055499,0.7715591
doi:10.17026/SS/FKBEAV,government,government policy,http://vocab.getty.edu/aat/300055507,0.75185484
doi:10.17026/SS/FKBEAV,social welfare,welfare services,http://vocab.getty.edu/aat/300138074,0.7979803
doi:10.17026/SS/FKBEAV,social welfare,social services,http://vocab.getty.edu/aat/300138069,0.73856485
doi:10.17026/SS/FKBEAV,social welfare,social workers,http://vocab.getty.edu/aat/300122943,0.7272899
doi:10.17026/SS/FKBEAV,social welfare,social mobility,http://vocab.getty.edu/aat/300055472,0.6579697
doi:10.17026/SS/FKBEAV,social welfare,social status,http://vocab.getty.edu/aat/300065206,0.6572485
doi:10.17026/SS/FKBEAV,social work,social workers,http://vocab.getty.edu/aat/300122943,0.8679364
doi:10.17026/SS/FKBEAV,social work,socializing,http://vocab.getty.edu/aat/300379719,0.774013
doi:10.17026/SS/FKBEAV,social work,social networking,http://vocab.getty.edu/aat/300312270,0.7715012
doi:10.17026/SS/FKBEAV,social work,social services,http://vocab.getty.edu/aat/300138069,0.73369944
doi:10.17026/SS/FKBEAV,social work,social recognition,http://vocab.getty.edu/aat/300225689,0.72512954
doi:10.17026/SS/FKBEAV,consultant,consultants,http://vocab.getty.edu/aat/300025835,0.9312874
doi:10.17026/SS/FKBEAV,consultant,consulting,http://vocab.getty.edu/aat/300137940,0.8452034
doi:10.17026/SS/FKBEAV,consultant,architect-consultant contracts,http://vocab.getty.edu/aat/300027662,0.7327208
doi:10.17026/SS/FKBEAV,consultant,advisors,http://vocab.getty.edu/aat/300160216,0.6172607
doi:10.17026/SS/FKBEAV,citizen,citizens,http://vocab.getty.edu/aat/300386295,0.9122158
doi:10.17026/SS/FKBEAV,citizen,citizenship,http://vocab.getty.edu/aat/300262481,0.8510463
doi:10.17026/SS/FKBEAV,citizen,citizen participation,http://vocab.getty.edu/aat/300055492,0.7778907
doi:10.17026/SS/FKBEAV,citizen,citizenship papers,http://vocab.getty.edu/aat/300101826,0.6827531
doi:10.17026/SS/FKBEAV,citizen,citizenship certificates,http://vocab.getty.edu/aat/300423215,0.6360037
doi:10.17026/SS/FKBEAV,client,clients,http://vocab.getty.edu/aat/300025833,0.9153925
doi:10.17026/SS/FKBEAV,quality of service,quality,http://vocab.getty.edu/aat/300179462,0.6701294
doi:10.17026/SS/FKBEAV,quality of service,services (organizations),http://vocab.getty.edu/aat/300150456,0.60015297
doi:10.17026/SS/FKBEAV,employment services,employment agencies,http://vocab.getty.edu/aat/300006010,0.7531263
doi:10.17026/SS/FKBEAV,employment services,services (organizations),http://vocab.getty.edu/aat/300150456,0.6668941
doi:10.17026/SS/FKBEAV,employment services,job applications,http://vocab.getty.edu/aat/300027447,0.63166416
doi:10.17026/SS/FKBEAV,employment services,jobs (occupations),http://vocab.getty.edu/aat/300435610,0.6106883
doi:10.17026/SS/FKBEAV,employment services,information services,http://vocab.getty.edu/aat/300150684,0.6026087
doi:10.17026/SS/FKBEAV,public administration,public administration,http://vocab.getty.edu/aat/300254069,0.9999998
doi:10.17026/SS/FKBEAV,public administration,public administrators,http://vocab.getty.edu/aat/300025444,0.8474314
doi:10.17026/SS/FKBEAV,public administration,administration,http://vocab.getty.edu/aat/300133011,0.737991
doi:10.17026/SS/FKBEAV,public administration,public services (organizations),http://vocab.getty.edu/aat/300055235,0.7266259
doi:10.17026/SS/FKBEAV,public administration,public service,http://vocab.getty.edu/aat/300393210,0.72588813
doi:10.17026/SS/FKBEAV,human resources,natural resources,http://vocab.getty.edu/aat/300067987,0.6822065
doi:10.17026/SS/FKBEAV,human resources,resources concepts,http://vocab.getty.edu/aat/300229419,0.6416763
