DOI,Keyword,Matched Term,URI,Cosine Similarity
doi:10.17026/SS/R5XWCC,guide dog,pet leashes,http://vocab.getty.edu/aat/300429124,0.65399903
doi:10.17026/SS/R5XWCC,guide dog,dog tracks,http://vocab.getty.edu/aat/300000604,0.6161169
doi:10.17026/SS/R5XWCC,guide dog,doges,http://vocab.getty.edu/aat/300025463,0.61599654
doi:10.17026/SS/R5XWCC,guide dog,spoke dogs,http://vocab.getty.edu/aat/300024156,0.60410094
doi:10.17026/SS/R5XWCC,dog (animal),doges,http://vocab.getty.edu/aat/300025463,0.7818099
doi:10.17026/SS/R5XWCC,dog (animal),pets (domestic animals),http://vocab.getty.edu/aat/300249494,0.7430104
doi:10.17026/SS/R5XWCC,dog (animal),animals (general term),http://vocab.getty.edu/aat/300249525,0.6932957
doi:10.17026/SS/R5XWCC,dog (animal),dog tags (pet identification tags),http://vocab.getty.edu/aat/300391088,0.6830661
doi:10.17026/SS/R5XWCC,dog (animal),greyhounds (breed),http://vocab.getty.edu/aat/300250142,0.67546576
doi:10.17026/SS/R5XWCC,medieval period,Late Medieval,http://vocab.getty.edu/aat/300111307,0.8641217
doi:10.17026/SS/R5XWCC,medieval period,Medieval (European),http://vocab.getty.edu/aat/300020756,0.8522061
doi:10.17026/SS/R5XWCC,medieval period,Early Medieval,http://vocab.getty.edu/aat/300020760,0.85040337
doi:10.17026/SS/R5XWCC,medieval period,Medieval styles and periods,http://vocab.getty.edu/aat/300111907,0.82852966
doi:10.17026/SS/R5XWCC,medieval period,medievalists,http://vocab.getty.edu/aat/300417555,0.7194071
doi:10.17026/SS/R5XWCC,manuscript,manuscripts (documents),http://vocab.getty.edu/aat/300028569,0.831555
doi:10.17026/SS/R5XWCC,manuscript,manuscripts for publication,http://vocab.getty.edu/aat/300028579,0.78810775
doi:10.17026/SS/R5XWCC,manuscript,manuscript designations,http://vocab.getty.edu/aat/300404013,0.7195548
doi:10.17026/SS/R5XWCC,manuscript,compilation manuscripts,http://vocab.getty.edu/aat/300403970,0.6945945
doi:10.17026/SS/R5XWCC,manuscript,manuscript maps,http://vocab.getty.edu/aat/300028461,0.69218624
doi:10.17026/SS/R5XWCC,illustration,extra-illustration,http://vocab.getty.edu/aat/300257232,0.82992816
doi:10.17026/SS/R5XWCC,illustration,illustration board,http://vocab.getty.edu/aat/300014229,0.7642634
doi:10.17026/SS/R5XWCC,illustration,technical illustrations (images),http://vocab.getty.edu/aat/300124063,0.7588321
doi:10.17026/SS/R5XWCC,illustration,scientific illustrations (images),http://vocab.getty.edu/aat/300015595,0.75512165
doi:10.17026/SS/R5XWCC,illustration,figures (illustrations),http://vocab.getty.edu/aat/300188975,0.7479961
doi:10.17026/SS/R5XWCC,artistic representation,artistic concepts,http://vocab.getty.edu/aat/300168394,0.7542374
doi:10.17026/SS/R5XWCC,artistic representation,decorative artists,http://vocab.getty.edu/aat/300386189,0.7127775
doi:10.17026/SS/R5XWCC,artistic representation,artistic directors,http://vocab.getty.edu/aat/300386786,0.6704288
doi:10.17026/SS/R5XWCC,artistic representation,concept artists,http://vocab.getty.edu/aat/300435205,0.66720575
doi:10.17026/SS/R5XWCC,artistic representation,artists (visual artists),http://vocab.getty.edu/aat/300025103,0.66559625
doi:10.17026/SS/R5XWCC,textual representation,representation (form of expression),http://vocab.getty.edu/aat/300069747,0.6135665
doi:10.17026/SS/R5XWCC,textual representation,representing,http://vocab.getty.edu/aat/300137847,0.60474396
doi:10.17026/SS/R5XWCC,western europe,Western European,http://vocab.getty.edu/aat/300386465,0.96461266
doi:10.17026/SS/R5XWCC,western europe,Eastern European,http://vocab.getty.edu/aat/300386466,0.80677557
doi:10.17026/SS/R5XWCC,western europe,European,http://vocab.getty.edu/aat/300020656,0.72264194
doi:10.17026/SS/R5XWCC,western europe,West German,http://vocab.getty.edu/aat/300386585,0.66926265
doi:10.17026/SS/R5XWCC,western europe,European regions,http://vocab.getty.edu/aat/300111149,0.66052043
doi:10.17026/SS/R5XWCC,dog training,animal training,http://vocab.getty.edu/aat/300417903,0.7512988
doi:10.17026/SS/R5XWCC,dog training,dog tracks,http://vocab.getty.edu/aat/300000604,0.6541394
doi:10.17026/SS/R5XWCC,dog training,dog harnesses,http://vocab.getty.edu/aat/300423566,0.65169907
doi:10.17026/SS/R5XWCC,dog training,training,http://vocab.getty.edu/aat/300188820,0.6349386
doi:10.17026/SS/R5XWCC,dog training,dogtooth courses,http://vocab.getty.edu/aat/300002641,0.62886333
doi:10.17026/SS/R5XWCC,canine,doges,http://vocab.getty.edu/aat/300025463,0.7566012
doi:10.17026/SS/R5XWCC,canine,puppies,http://vocab.getty.edu/aat/300265947,0.7314599
doi:10.17026/SS/R5XWCC,canine,span dogs,http://vocab.getty.edu/aat/300433473,0.65006
doi:10.17026/SS/R5XWCC,canine,spoke dogs,http://vocab.getty.edu/aat/300024156,0.6422932
doi:10.17026/SS/R5XWCC,canine,dog hair,http://vocab.getty.edu/aat/300380361,0.63682324
