DOI,Keyword,Matched Term,URI,Cosine Similarity
doi:10.17026/SS/VWPJD5,brokerage,brokers,http://vocab.getty.edu/aat/300025215,0.92584896
doi:10.17026/SS/VWPJD5,brokerage,art brokers,http://vocab.getty.edu/aat/300443853,0.646911
doi:10.17026/SS/VWPJD5,investment,investment (function),http://vocab.getty.edu/aat/300137815,0.78550386
doi:10.17026/SS/VWPJD5,investment,investors,http://vocab.getty.edu/aat/300025229,0.7571428
doi:10.17026/SS/VWPJD5,investment,investments (expenditures),http://vocab.getty.edu/aat/300055727,0.72358245
doi:10.17026/SS/VWPJD5,investment,investitures,http://vocab.getty.edu/aat/300379144,0.715072
doi:10.17026/SS/VWPJD5,investment,investment casting,http://vocab.getty.edu/aat/300237989,0.6186168
doi:10.17026/SS/VWPJD5,colonial trade,colonialism,http://vocab.getty.edu/aat/300400905,0.7341529
doi:10.17026/SS/VWPJD5,colonial trade,Post-Colonial,http://vocab.getty.edu/aat/300444999,0.7208551
doi:10.17026/SS/VWPJD5,colonial trade,British Colonial,http://vocab.getty.edu/aat/300192167,0.7049017
doi:10.17026/SS/VWPJD5,colonial trade,colonials (people),http://vocab.getty.edu/aat/300236418,0.68520516
doi:10.17026/SS/VWPJD5,colonial trade,colonial settlements,http://vocab.getty.edu/aat/300387231,0.6835118
doi:10.17026/SS/VWPJD5,french colonial empire,French Colonial,http://vocab.getty.edu/aat/300107024,0.9306539
doi:10.17026/SS/VWPJD5,french colonial empire,Colonial French American,http://vocab.getty.edu/aat/300386014,0.79915696
doi:10.17026/SS/VWPJD5,french colonial empire,colonialism,http://vocab.getty.edu/aat/300400905,0.6992922
doi:10.17026/SS/VWPJD5,french colonial empire,German Colonial,http://vocab.getty.edu/aat/300448847,0.6437261
doi:10.17026/SS/VWPJD5,french colonial empire,colonials (people),http://vocab.getty.edu/aat/300236418,0.63112116
doi:10.17026/SS/VWPJD5,amsterdam,holland,http://vocab.getty.edu/aat/300227835,0.6619086
doi:10.17026/SS/VWPJD5,dutch republic,holland,http://vocab.getty.edu/aat/300227835,0.76957667
doi:10.17026/SS/VWPJD5,dutch republic,Dutch (language),http://vocab.getty.edu/aat/300388256,0.7660922
doi:10.17026/SS/VWPJD5,dutch republic,Dutch Colonial,http://vocab.getty.edu/aat/300107022,0.7561725
doi:10.17026/SS/VWPJD5,dutch republic,Standard Dutch,http://vocab.getty.edu/aat/300411849,0.7294955
doi:10.17026/SS/VWPJD5,dutch republic,Dutch East Indian,http://vocab.getty.edu/aat/300418042,0.7050226
doi:10.17026/SS/VWPJD5,18th century,eighteenth century BCE,http://vocab.getty.edu/aat/300404538,0.8459481
doi:10.17026/SS/VWPJD5,18th century,eighteenth century (dates CE),http://vocab.getty.edu/aat/300404512,0.8446722
doi:10.17026/SS/VWPJD5,18th century,nineteenth century (dates CE),http://vocab.getty.edu/aat/300404513,0.78295934
doi:10.17026/SS/VWPJD5,18th century,nineteenth century BCE,http://vocab.getty.edu/aat/300404539,0.74963987
doi:10.17026/SS/VWPJD5,18th century,seventeenth century (dates CE),http://vocab.getty.edu/aat/300404511,0.6789821
doi:10.17026/SS/VWPJD5,notarial documents,notarial documents,http://vocab.getty.edu/aat/300164785,1.0
doi:10.17026/SS/VWPJD5,notarial documents,writings (documents),http://vocab.getty.edu/aat/300189226,0.6401675
doi:10.17026/SS/VWPJD5,notarial documents,manuscripts (documents),http://vocab.getty.edu/aat/300028569,0.6358305
doi:10.17026/SS/VWPJD5,notarial documents,herbaria (documents),http://vocab.getty.edu/aat/300440768,0.620853
doi:10.17026/SS/VWPJD5,notarial documents,papers (documents),http://vocab.getty.edu/aat/300199056,0.61198723
doi:10.17026/SS/VWPJD5,newspaper,newspapers,http://vocab.getty.edu/aat/300026656,0.9627596
doi:10.17026/SS/VWPJD5,newspaper,newspaper columns,http://vocab.getty.edu/aat/300026441,0.8087286
doi:10.17026/SS/VWPJD5,newspaper,newspaper presses,http://vocab.getty.edu/aat/300429555,0.747481
doi:10.17026/SS/VWPJD5,newspaper,newspaper advertisements,http://vocab.getty.edu/aat/300429552,0.72843647
doi:10.17026/SS/VWPJD5,newspaper,newspaper indexes,http://vocab.getty.edu/aat/300026583,0.7265608
doi:10.17026/SS/VWPJD5,archives,archives (institutions),http://vocab.getty.edu/aat/300312242,0.8752765
doi:10.17026/SS/VWPJD5,archives,Web archives,http://vocab.getty.edu/aat/300380353,0.8574093
doi:10.17026/SS/VWPJD5,archives,archives (buildings),http://vocab.getty.edu/aat/300124822,0.7929113
doi:10.17026/SS/VWPJD5,archives,digital archives (institutions),http://vocab.getty.edu/aat/300379430,0.7886756
doi:10.17026/SS/VWPJD5,archives,archives (rooms),http://vocab.getty.edu/aat/300004482,0.7856863
